Airport,DateTime,Type_METAR,Dewpoint_METAR (C),Temperature_METAR (C),Visibility_METAR (km),Ceiling_METAR (ft),Wind_speed_METAR (kt),Wind_direction_METAR (degrees),Weather_METAR ,Flight_category_METAR,Type_TAF,Visibility_TAF (km),Ceiling_TAF (ft),Wind_speed_TAF (kt),Wind_direction_TAF (ddegrees),Weather_TAF,Flight_category_TAF,Altitude (ft),Latitude (degrees),Longitude (degrees),Distance (km),Error_type,Koppen Climate Classification
PHNL,2024-11-25 18:00:00,METAR,18.9,22.8,10+,100000,4,350,None reported,VFR,TAF,6+,100000,5,340,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-25 12:00:00,METAR,20.6,22.2,10+,100000,5,340,None reported,VFR,TAF,6+,4000,5,340,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-25 06:00:00,METAR,18.9,25,10+,4000,3,150,None reported,VFR,TAF,6+,4500,5,340,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-25 00:00:00,METAR,17.8,26.1,10+,100000,10,220,None reported,VFR,TAF,6+,100000,10,220,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-24 18:00:00,METAR,16.7,20,10+,100000,4,330,None reported,VFR,TAF,6+,100000,4,320,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-24 12:00:00,METAR,16.1,19.4,10+,100000,4,350,None reported,VFR,TAF,6+,100000,5,340,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-24 06:00:00,METAR,16.1,22.8,10+,100000,5,20,None reported,VFR,TAF,6+,100000,5,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-24 00:00:00,METAR,17.8,26.1,10+,100000,11,220,None reported,VFR,TAF,6+,100000,8,200,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-23 18:00:00,METAR,18.3,21.1,10+,100000,3,360,None reported,VFR,TAF,6+,100000,4,330,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-23 12:00:00,METAR,17.2,20,10+,100000,0,0,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
